"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/02/2021","26","PM2.5","MLK  CORNER OF MLK BLVD AND JUSTISON ST","10-003-2004","AQS"
"01/03/2021","41","PM2.5","Chester","42-045-0002","AQS"
"01/04/2021","40","PM2.5","Lums Pond","10-003-1007","AQS"
"01/05/2021","52","PM2.5","Lums Pond","10-003-1007","AQS"
"01/06/2021","30","Ozone","BELLEVUE STATE PARK, FIELD IN SE PORTION OF PARK","10-003-1013","AQS"
"01/07/2021","33","Ozone","A420910013LAT/LON POINT IS OF CORNER OF TRAILER","42-091-0013","AQS"
"01/08/2021","45","PM2.5","Lums Pond","10-003-1007","AQS"
"01/09/2021","37","Ozone","BELLEVUE STATE PARK, FIELD IN SE PORTION OF PARK","10-003-1013","AQS"
"01/10/2021","50","PM2.5","Newark  PARKING LOT LAIRD CAMPUS","10-003-1012","AQS"
"01/11/2021","74","PM2.5","A420910013LAT/LON POINT IS OF CORNER OF TRAILER","42-091-0013","AQS"
"01/12/2021","99","PM2.5","Fire Administration Building (FAB)","42-101-0057","AQS"
"01/13/2021","88","PM2.5","Fire Administration Building (FAB)","42-101-0057","AQS"
"01/14/2021","83","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"01/15/2021","71","PM2.5","Chester","42-045-0002","AQS"
"01/16/2021","49","PM2.5","Camden Spruce Street","34-007-0002","AQS"
"01/17/2021","55","PM2.5","Camden Spruce Street","34-007-0002","AQS"
"01/18/2021","44","PM2.5","Camden Spruce Street","34-007-0002","AQS"
"01/19/2021","63","PM2.5","Camden Spruce Street","34-007-0002","AQS"
"01/20/2021","32","PM2.5","Camden Spruce Street","34-007-0002","AQS"
"01/21/2021","51","PM2.5","Torresdale Station","42-101-0075","AQS"
"01/22/2021","55","PM2.5","Camden Spruce Street","34-007-0002","AQS"
"01/23/2021","36","Ozone","Camden Spruce Street","34-007-0002","AQS"
"01/24/2021","38","Ozone","Camden Spruce Street","34-007-0002","AQS"
"01/25/2021","40","PM2.5","Camden Spruce Street","34-007-0002","AQS"
"01/26/2021","52","PM2.5","Chester","42-045-0002","AQS"
"01/27/2021","54","PM2.5","Camden Spruce Street","34-007-0002","AQS"
"01/28/2021","36","Ozone","Camden Spruce Street","34-007-0002","AQS"
"01/29/2021","40","Ozone","Camden Spruce Street","34-007-0002","AQS"
"01/30/2021","43","PM2.5","MLK  CORNER OF MLK BLVD AND JUSTISON ST","10-003-2004","AQS"
"01/31/2021","64","PM2.5","Chester","42-045-0002","AQS"
"02/01/2021","35","Ozone","New Garden","42-029-0100","AQS"
"02/02/2021","36","Ozone","Lums Pond","10-003-1007","AQS"
"02/03/2021","38","Ozone","New Garden","42-029-0100","AQS"
"02/04/2021","46","NO2","North East Waste (NEW)","42-101-0048","AQS"
"02/05/2021","51","PM2.5","Torresdale Station","42-101-0075","AQS"
"02/06/2021","47","PM2.5","Camden Spruce Street","34-007-0002","AQS"
"02/07/2021","60","PM2.5","Torresdale Station","42-101-0075","AQS"
"02/08/2021","47","PM2.5","Torresdale Station","42-101-0075","AQS"
"02/09/2021","65","PM2.5","Torresdale Station","42-101-0075","AQS"
"02/10/2021","73","PM2.5","Lums Pond","10-003-1007","AQS"
"02/11/2021","66","PM2.5","Chester","42-045-0002","AQS"
"02/12/2021","44","NO2","Car-Barn Montgomery I -76","42-101-0076","AQS"
"02/13/2021","40","PM2.5","Fair Hill Natural Resource Management Area","24-015-0003","AQS"
"02/14/2021","66","PM2.5","Lums Pond","10-003-1007","AQS"
"02/15/2021","61","PM2.5","Chester","42-045-0002","AQS"
"02/16/2021","37","PM2.5","Camden Spruce Street","34-007-0002","AQS"
"02/17/2021","36","Ozone","BELLEVUE STATE PARK, FIELD IN SE PORTION OF PARK","10-003-1013","AQS"
"02/18/2021","47","PM2.5","Pennsauken","34-007-1007","AQS"
"02/19/2021","56","PM2.5","Torresdale Station","42-101-0075","AQS"
"02/20/2021","69","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"02/21/2021","70","PM2.5","Chester","42-045-0002","AQS"
"02/22/2021","60","PM2.5","Torresdale Station","42-101-0075","AQS"
"02/23/2021","54","PM2.5","Torresdale Station","42-101-0075","AQS"
"02/24/2021","45","Ozone","Ancora State Hospital","34-007-1001","AQS"
"02/25/2021","44","Ozone","BELLEVUE STATE PARK, FIELD IN SE PORTION OF PARK","10-003-1013","AQS"
"02/26/2021","46","NO2","Camden Spruce Street","34-007-0002","AQS"
"02/27/2021","57","PM2.5","Camden Spruce Street","34-007-0002","AQS"
"02/28/2021","61","NO2","Car-Barn Montgomery I -76","42-101-0076","AQS"
"03/01/2021","41","PM2.5","Camden Spruce Street","34-007-0002","AQS"
"03/02/2021","39","Ozone","BELLEVUE STATE PARK, FIELD IN SE PORTION OF PARK","10-003-1013","AQS"
"03/03/2021","48","PM2.5","Torresdale Station","42-101-0075","AQS"
"03/04/2021","52","PM2.5","Fair Hill Natural Resource Management Area","24-015-0003","AQS"
"03/05/2021","40","Ozone","Lums Pond","10-003-1007","AQS"
"03/06/2021","39","Ozone","Fair Hill Natural Resource Management Area","24-015-0003","AQS"
"03/07/2021","41","Ozone","BCSP","10-003-1010","AQS"
"03/08/2021","43","PM2.5","Fair Hill Natural Resource Management Area","24-015-0003","AQS"
"03/09/2021","59","PM2.5","Chester","42-045-0002","AQS"
"03/10/2021","85","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"03/11/2021","86","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"03/12/2021","51","PM2.5","Chester","42-045-0002","AQS"
"03/13/2021","44","Ozone","Fair Hill Natural Resource Management Area","24-015-0003","AQS"
"03/14/2021","55","PM2.5","Chester","42-045-0002","AQS"
"03/15/2021","41","Ozone","Fair Hill Natural Resource Management Area","24-015-0003","AQS"
"03/16/2021","49","NO2","Car-Barn Montgomery I -76","42-101-0076","AQS"
"03/17/2021","53","PM2.5","Fire Administration Building (FAB)","42-101-0057","AQS"
"03/18/2021","51","NO2","Car-Barn Montgomery I -76","42-101-0076","AQS"
"03/19/2021","41","Ozone","Fair Hill Natural Resource Management Area","24-015-0003","AQS"
"03/20/2021","44","Ozone","Fair Hill Natural Resource Management Area","24-015-0003","AQS"
"03/21/2021","52","PM2.5","Fair Hill Natural Resource Management Area","24-015-0003","AQS"
"03/22/2021","56","PM2.5","Torresdale Station","42-101-0075","AQS"
"03/23/2021","67","PM2.5","Torresdale Station","42-101-0075","AQS"
"03/24/2021","51","PM2.5","Fire Administration Building (FAB)","42-101-0057","AQS"
"03/25/2021","55","PM2.5","Fire Administration Building (FAB)","42-101-0057","AQS"
"03/26/2021","45","Ozone","Fair Hill Natural Resource Management Area","24-015-0003","AQS"
"03/27/2021","48","Ozone","Fair Hill Natural Resource Management Area","24-015-0003","AQS"
"03/28/2021","37","Ozone","Clarksboro","34-015-0002","AQS"
"03/29/2021","41","Ozone","Fair Hill Natural Resource Management Area","24-015-0003","AQS"
"03/30/2021","47","Ozone","North East Airport (NEA)","42-101-0024","AQS"
"03/31/2021","36","PM2.5","Chester","42-045-0002","AQS"
"04/01/2021","43","PM2.5","Camden Spruce Street","34-007-0002","AQS"
"04/02/2021","41","Ozone","Fair Hill Natural Resource Management Area","24-015-0003","AQS"
"04/03/2021","42","Ozone","BCSP","10-003-1010","AQS"
"04/04/2021","54","Ozone","Fair Hill Natural Resource Management Area","24-015-0003","AQS"
"04/05/2021","50","Ozone","Fair Hill Natural Resource Management Area","24-015-0003","AQS"
"04/06/2021","54","Ozone","Fair Hill Natural Resource Management Area","24-015-0003","AQS"
"04/07/2021","50","Ozone","Fair Hill Natural Resource Management Area","24-015-0003","AQS"
"04/08/2021","44","NO2","Car-Barn Montgomery I -76","42-101-0076","AQS"
"04/09/2021","36","Ozone","Fair Hill Natural Resource Management Area","24-015-0003","AQS"
"04/10/2021","39","PM2.5","Camden Spruce Street","34-007-0002","AQS"
"04/11/2021","36","Ozone","Lums Pond","10-003-1007","AQS"
"04/12/2021","34","NO2","Car-Barn Montgomery I -76","42-101-0076","AQS"
"04/13/2021","45","Ozone","North East Airport (NEA)","42-101-0024","AQS"
"04/14/2021","50","PM2.5","New Garden","42-029-0100","AQS"
"04/15/2021","49","PM2.5","Fire Administration Building (FAB)","42-101-0057","AQS"
"04/16/2021","31","Ozone","Lums Pond","10-003-1007","AQS"
"04/17/2021","34","Ozone","North East Airport (NEA)","42-101-0024","AQS"
"04/18/2021","40","Ozone","BCSP","10-003-1010","AQS"
"04/19/2021","44","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"04/20/2021","54","Ozone","Fair Hill Natural Resource Management Area","24-015-0003","AQS"
"04/21/2021","44","Ozone","Ancora State Hospital","34-007-1001","AQS"
"04/22/2021","48","PM2.5","Camden Spruce Street","34-007-0002","AQS"
"04/23/2021","63","PM2.5","Camden Spruce Street","34-007-0002","AQS"
"04/24/2021","77","Ozone","North East Airport (NEA)","42-101-0024","AQS"
"04/25/2021","50","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"04/26/2021","50","PM2.5","Chester","42-045-0002","AQS"
"04/27/2021","90","Ozone","Fair Hill Natural Resource Management Area","24-015-0003","AQS"
"04/28/2021","71","Ozone","Ancora State Hospital","34-007-1001","AQS"
"04/29/2021","59","PM2.5","Fire Administration Building (FAB)","42-101-0057","AQS"
"04/30/2021","43","Ozone","Fair Hill Natural Resource Management Area","24-015-0003","AQS"
"05/01/2021","44","Ozone","Fair Hill Natural Resource Management Area","24-015-0003","AQS"
"05/02/2021","71","Ozone","Fair Hill Natural Resource Management Area","24-015-0003","AQS"
"05/03/2021","53","PM2.5","Chester","42-045-0002","AQS"
"05/04/2021","52","PM2.5","Fire Administration Building (FAB)","42-101-0057","AQS"
"05/05/2021","48","PM2.5","Car-Barn Montgomery I -76","42-101-0076","AQS"
"05/06/2021","37","Ozone","Clarksboro","34-015-0002","AQS"
"05/07/2021","41","Ozone","Clarksboro","34-015-0002","AQS"
"05/08/2021","38","Ozone","Fair Hill Natural Resource Management Area","24-015-0003","AQS"
"05/09/2021","38","Ozone","Fair Hill Natural Resource Management Area","24-015-0003","AQS"
"05/10/2021","40","Ozone","Fair Hill Natural Resource Management Area","24-015-0003","AQS"
"05/11/2021","45","Ozone","Bristol","42-017-0012","AQS"
"05/12/2021","37","Ozone","BCSP","10-003-1010","AQS"
"05/13/2021","46","Ozone","Clarksboro","34-015-0002","AQS"
"05/14/2021","50","Ozone","Clarksboro","34-015-0002","AQS"
"05/15/2021","53","PM2.5","Camden Spruce Street","34-007-0002","AQS"
"05/16/2021","49","Ozone","Fair Hill Natural Resource Management Area","24-015-0003","AQS"
"05/17/2021","84","Ozone","Bristol","42-017-0012","AQS"
"05/18/2021","93","Ozone","Fair Hill Natural Resource Management Area","24-015-0003","AQS"
"05/19/2021","108","Ozone","A420910013LAT/LON POINT IS OF CORNER OF TRAILER","42-091-0013","AQS"
"05/20/2021","64","Ozone","A420910013LAT/LON POINT IS OF CORNER OF TRAILER","42-091-0013","AQS"
"05/21/2021","100","Ozone","Bristol","42-017-0012","AQS"
"05/22/2021","93","Ozone","Ancora State Hospital","34-007-1001","AQS"
"05/23/2021","56","PM2.5","Camden Spruce Street","34-007-0002","AQS"
"05/24/2021","36","Ozone","Ancora State Hospital","34-007-1001","AQS"
"05/25/2021","43","Ozone","Bristol","42-017-0012","AQS"
"05/26/2021","62","PM2.5","Car-Barn Montgomery I -76","42-101-0076","AQS"
"05/27/2021","57","PM2.5","Camden Spruce Street","34-007-0002","AQS"
"05/28/2021","35","Ozone","Camden Spruce Street","34-007-0002","AQS"
"05/29/2021","34","Ozone","Camden Spruce Street","34-007-0002","AQS"
"05/30/2021","26","Ozone","Camden Spruce Street","34-007-0002","AQS"
"05/31/2021","40","Ozone","Fair Hill Natural Resource Management Area","24-015-0003","AQS"
"06/01/2021","51","Ozone","Bristol","42-017-0012","AQS"
"06/02/2021","47","Ozone","North East Waste (NEW)","42-101-0048","AQS"
"06/03/2021","38","PM2.5","Camden Spruce Street","34-007-0002","AQS"
"06/04/2021","44","Ozone","Fair Hill Natural Resource Management Area","24-015-0003","AQS"
"06/05/2021","115","Ozone","Fair Hill Natural Resource Management Area","24-015-0003","AQS"
"06/06/2021","105","Ozone","Bristol","42-017-0012","AQS"
"06/07/2021","77","Ozone","Bristol","42-017-0012","AQS"
"06/08/2021","45","PM2.5","Fire Administration Building (FAB)","42-101-0057","AQS"
"06/09/2021","52","PM2.5","Camden Spruce Street","34-007-0002","AQS"
"06/10/2021","44","Ozone","MLK  CORNER OF MLK BLVD AND JUSTISON ST","10-003-2004","AQS"
"06/11/2021","52","PM2.5","Chester","42-045-0002","AQS"
"06/12/2021","42","Ozone","BCSP","10-003-1010","AQS"
"06/13/2021","39","Ozone","A420910013LAT/LON POINT IS OF CORNER OF TRAILER","42-091-0013","AQS"
"06/14/2021","71","Ozone","Fair Hill Natural Resource Management Area","24-015-0003","AQS"
"06/15/2021","41","Ozone","Ancora State Hospital","34-007-1001","AQS"
"06/16/2021","44","Ozone","Fair Hill Natural Resource Management Area","24-015-0003","AQS"
"06/17/2021","61","Ozone","Fair Hill Natural Resource Management Area","24-015-0003","AQS"
"06/18/2021","112","Ozone","Bristol","42-017-0012","AQS"
"06/19/2021","67","Ozone","Bristol","42-017-0012","AQS"
"06/20/2021","90","Ozone","Bristol","42-017-0012","AQS"
"06/21/2021","56","PM2.5","Camden Spruce Street","34-007-0002","AQS"
"06/22/2021","28","PM2.5","Chester","42-045-0002","AQS"
"06/23/2021","42","Ozone","Camden Spruce Street","34-007-0002","AQS"
"06/24/2021","47","Ozone","Fair Hill Natural Resource Management Area","24-015-0003","AQS"
"06/25/2021","54","Ozone","North East Airport (NEA)","42-101-0024","AQS"
"06/26/2021","51","PM2.5","Camden Spruce Street","34-007-0002","AQS"
"06/27/2021","45","PM2.5","Fire Administration Building (FAB)","42-101-0057","AQS"
"06/28/2021","41","Ozone","Bristol","42-017-0012","AQS"
"06/29/2021","51","Ozone","Bristol","42-017-0012","AQS"
"06/30/2021","112","Ozone","Bristol","42-017-0012","AQS"
"07/01/2021","44","Ozone","Ancora State Hospital","34-007-1001","AQS"
"07/02/2021","39","Ozone","Fair Hill Natural Resource Management Area","24-015-0003","AQS"
"07/03/2021","32","Ozone","Lums Pond","10-003-1007","AQS"
"07/04/2021","63","PM2.5","Car-Barn Montgomery I -76","42-101-0076","AQS"
"07/05/2021","71","PM2.5","A420910013LAT/LON POINT IS OF CORNER OF TRAILER","42-091-0013","AQS"
"07/06/2021","101","Ozone","Fair Hill Natural Resource Management Area","24-015-0003","AQS"
"07/07/2021","112","Ozone","Bristol","42-017-0012","AQS"
"07/08/2021","61","PM2.5","Fire Administration Building (FAB)","42-101-0057","AQS"
"07/09/2021","47","Ozone","Fair Hill Natural Resource Management Area","24-015-0003","AQS"
"07/10/2021","44","Ozone","Camden Spruce Street","34-007-0002","AQS"
"07/11/2021","49","PM2.5","Fire Administration Building (FAB)","42-101-0057","AQS"
"07/12/2021","54","PM2.5","Camden Spruce Street","34-007-0002","AQS"
"07/13/2021","66","PM2.5","Camden Spruce Street","34-007-0002","AQS"
"07/14/2021","60","PM2.5","Camden Spruce Street","34-007-0002","AQS"
"07/15/2021","122","Ozone","Bristol","42-017-0012","AQS"
"07/16/2021","87","Ozone","Fair Hill Natural Resource Management Area","24-015-0003","AQS"
"07/17/2021","63","PM2.5","Camden Spruce Street","34-007-0002","AQS"
"07/18/2021","35","Ozone","Fair Hill Natural Resource Management Area","24-015-0003","AQS"
"07/19/2021","84","PM2.5","New Garden","42-029-0100","AQS"
"07/20/2021","152","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"07/21/2021","116","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"07/22/2021","49","PM2.5","Torresdale Station","42-101-0075","AQS"
"07/23/2021","55","PM2.5","Ritner (RIT)","42-101-0055","AQS"
"07/24/2021","74","Ozone","North East Airport (NEA)","42-101-0024","AQS"
"07/25/2021","62","PM2.5","Ritner (RIT)","42-101-0055","AQS"
"07/26/2021","90","Ozone","Camden Spruce Street","34-007-0002","AQS"
"07/27/2021","101","Ozone","Clarksboro","34-015-0002","AQS"
"07/28/2021","87","Ozone","Chester","42-045-0002","AQS"
"07/29/2021","72","PM2.5","Camden Spruce Street","34-007-0002","AQS"
"07/30/2021","64","PM2.5","Camden Spruce Street","34-007-0002","AQS"
"07/31/2021","45","Ozone","Camden Spruce Street","34-007-0002","AQS"
"08/01/2021","42","PM2.5","A420910013LAT/LON POINT IS OF CORNER OF TRAILER","42-091-0013","AQS"
"08/02/2021","45","PM2.5","Ritner (RIT)","42-101-0055","AQS"
"08/03/2021","38","Ozone","Fair Hill Natural Resource Management Area","24-015-0003","AQS"
"08/04/2021","50","Ozone","Fair Hill Natural Resource Management Area","24-015-0003","AQS"
"08/05/2021","54","Ozone","Fair Hill Natural Resource Management Area","24-015-0003","AQS"
"08/06/2021","108","Ozone","Bristol","42-017-0012","AQS"
"08/07/2021","64","Ozone","North East Airport (NEA)","42-101-0024","AQS"
"08/08/2021","74","Ozone","North East Airport (NEA)","42-101-0024","AQS"
"08/09/2021","90","Ozone","Chester","42-045-0002","AQS"
"08/10/2021","55","PM2.5","Car-Barn Montgomery I -76","42-101-0076","AQS"
"08/11/2021","54","PM2.5","Camden Spruce Street","34-007-0002","AQS"
"08/12/2021","100","Ozone","Bristol","42-017-0012","AQS"
"08/13/2021","126","Ozone","North East Airport (NEA)","42-101-0024","AQS"
"08/14/2021","50","Ozone","Clarksboro","34-015-0002","AQS"
"08/15/2021","51","Ozone","Lums Pond","10-003-1007","AQS"
"08/16/2021","40","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"08/17/2021","61","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"08/18/2021","35","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"08/19/2021","35","Ozone","BELLEVUE STATE PARK, FIELD IN SE PORTION OF PARK","10-003-1013","AQS"
"08/20/2021","45","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"08/21/2021","45","Ozone","New Garden","42-029-0100","AQS"
"08/22/2021","51","PM2.5","Camden Spruce Street","34-007-0002","AQS"
"08/23/2021","55","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"08/24/2021","77","Ozone","BELLEVUE STATE PARK, FIELD IN SE PORTION OF PARK","10-003-1013","AQS"
"08/25/2021","151","Ozone","North East Airport (NEA)","42-101-0024","AQS"
"08/26/2021","133","Ozone","Bristol","42-017-0012","AQS"
"08/27/2021","61","Ozone","Bristol","42-017-0012","AQS"
"08/28/2021","54","PM2.5","Camden Spruce Street","34-007-0002","AQS"
"08/29/2021","45","PM2.5","Clarksboro","34-015-0002","AQS"
"08/30/2021","59","PM2.5","Camden Spruce Street","34-007-0002","AQS"
"08/31/2021","55","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"09/01/2021","61","PM2.5","Camden Spruce Street","34-007-0002","AQS"
"09/02/2021","36","Ozone","BELLEVUE STATE PARK, FIELD IN SE PORTION OF PARK","10-003-1013","AQS"
"09/03/2021","29","Ozone","Lums Pond","10-003-1007","AQS"
"09/04/2021","33","Ozone","Bristol","42-017-0012","AQS"
"09/05/2021","55","PM2.5","Camden Spruce Street","34-007-0002","AQS"
"09/06/2021","47","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"09/07/2021","74","Ozone","Fair Hill Natural Resource Management Area","24-015-0003","AQS"
"09/08/2021","53","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"09/09/2021","39","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"09/10/2021","34","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"09/11/2021","49","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"09/12/2021","49","Ozone","Bristol","42-017-0012","AQS"
"09/13/2021","71","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"09/14/2021","76","PM2.5","Ritner (RIT)","42-101-0055","AQS"
"09/15/2021","62","PM2.5","Ritner (RIT)","42-101-0055","AQS"
"09/16/2021","42","Ozone","North East Airport (NEA)","42-101-0024","AQS"
"09/17/2021","48","PM2.5","Camden Spruce Street","34-007-0002","AQS"
"09/18/2021","55","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"09/19/2021","35","PM2.5","Ritner (RIT)","42-101-0055","AQS"
"09/20/2021","34","Ozone","New Garden","42-029-0100","AQS"
"09/21/2021","32","Ozone","New Garden","42-029-0100","AQS"
"09/22/2021","59","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"09/23/2021","38","PM2.5","Camden Spruce Street","34-007-0002","AQS"
"09/24/2021","42","Ozone","North East Airport (NEA)","42-101-0024","AQS"
"09/25/2021","52","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"09/26/2021","41","Ozone","New Garden","42-029-0100","AQS"
"09/27/2021","43","Ozone","Bristol","42-017-0012","AQS"
"09/28/2021","53","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"09/29/2021","31","Ozone","Lums Pond","10-003-1007","AQS"
"09/30/2021","28","Ozone","Lums Pond","10-003-1007","AQS"
"10/01/2021","35","PM10","Camden Spruce Street","34-007-0002","AQS"
"10/02/2021","58","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"10/03/2021","66","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"10/04/2021","65","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"10/05/2021","40","PM2.5","Car-Barn Montgomery I -76","42-101-0076","AQS"
"10/06/2021","42","PM2.5","A420910013LAT/LON POINT IS OF CORNER OF TRAILER","42-091-0013","AQS"
"10/07/2021","42","PM2.5","Ritner (RIT)","42-101-0055","AQS"
"10/08/2021","46","Ozone","North East Airport (NEA)","42-101-0024","AQS"
"10/09/2021","52","PM2.5","Chester","42-045-0002","AQS"
"10/10/2021","38","PM2.5","Chester","42-045-0002","AQS"
"10/11/2021","34","Ozone","Bristol","42-017-0012","AQS"
"10/12/2021","35","PM2.5","Marcus Hook","42-045-0109","AQS"
"10/13/2021","44","PM2.5","A420910013LAT/LON POINT IS OF CORNER OF TRAILER","42-091-0013","AQS"
"10/14/2021","55","PM2.5","Ritner (RIT)","42-101-0055","AQS"
"10/15/2021","57","PM2.5","Ritner (RIT)","42-101-0055","AQS"
"10/16/2021","49","PM2.5","Chester","42-045-0002","AQS"
"10/17/2021","31","Ozone","Fair Hill Natural Resource Management Area","24-015-0003","AQS"
"10/18/2021","31","Ozone","Lums Pond","10-003-1007","AQS"
"10/19/2021","51","PM2.5","Camden Spruce Street","34-007-0002","AQS"
"10/20/2021","51","Ozone","Fair Hill Natural Resource Management Area","24-015-0003","AQS"
"10/21/2021","58","PM2.5","Ritner (RIT)","42-101-0055","AQS"
"10/22/2021","52","PM2.5","Ritner (RIT)","42-101-0055","AQS"
"10/23/2021","34","PM2.5","Ritner (RIT)","42-101-0055","AQS"
"10/24/2021","45","PM2.5","Ritner (RIT)","42-101-0055","AQS"
"10/25/2021","43","Ozone","Bristol","42-017-0012","AQS"
"10/26/2021","30","Ozone","BELLEVUE STATE PARK, FIELD IN SE PORTION OF PARK","10-003-1013","AQS"
"10/27/2021","31","Ozone","Fair Hill Natural Resource Management Area","24-015-0003","AQS"
"10/28/2021","36","NO2","Car-Barn Montgomery I -76","42-101-0076","AQS"
"10/29/2021","35","NO2","Chester","42-045-0002","AQS"
"10/30/2021","39","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"10/31/2021","79","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"11/01/2021","52","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"11/02/2021","38","PM2.5","Ritner (RIT)","42-101-0055","AQS"
"11/03/2021","44","PM2.5","Ritner (RIT)","42-101-0055","AQS"
"11/04/2021","54","PM2.5","Lums Pond","10-003-1007","AQS"
"11/05/2021","53","PM2.5","Ritner (RIT)","42-101-0055","AQS"
"11/06/2021","86","PM2.5","Pennsauken","34-007-1007","AQS"
"11/07/2021","75","PM2.5","A420910013LAT/LON POINT IS OF CORNER OF TRAILER","42-091-0013","AQS"
"11/08/2021","65","PM2.5","Ritner (RIT)","42-101-0055","AQS"
"11/09/2021","82","PM2.5","Fire Administration Building (FAB)","42-101-0057","AQS"
"11/10/2021","66","PM2.5","Ritner (RIT)","42-101-0055","AQS"
"11/11/2021","39","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"11/12/2021","39","PM2.5","Camden Spruce Street","34-007-0002","AQS"
"11/13/2021","51","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"11/14/2021","40","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"11/15/2021","41","PM2.5","Camden Spruce Street","34-007-0002","AQS"
"11/16/2021","54","PM2.5","Camden Spruce Street","34-007-0002","AQS"
"11/17/2021","67","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"11/18/2021","75","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"11/19/2021","34","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"11/20/2021","45","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"11/21/2021","62","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"11/22/2021","54","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"11/23/2021","31","Ozone","BCSP","10-003-1010","AQS"
"11/24/2021","58","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"11/25/2021","81","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"11/26/2021","55","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"11/27/2021","63","NO2","Chester","42-045-0002","AQS"
"11/28/2021","65","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"11/29/2021","49","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"11/30/2021","58","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"12/01/2021","76","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"12/02/2021","73","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"12/03/2021","31","Ozone","BCSP","10-003-1010","AQS"
"12/04/2021","54","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"12/05/2021","54","PM2.5","Chester","42-045-0002","AQS"
"12/06/2021","67","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"12/07/2021","50","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"12/08/2021","69","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"12/09/2021","72","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"12/10/2021","82","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"12/11/2021","59","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"12/12/2021","36","NO2","Torresdale Station","42-101-0075","AQS"
"12/13/2021","47","PM2.5","Camden Spruce Street","34-007-0002","AQS"
"12/14/2021","58","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"12/15/2021","67","NO2","Car-Barn Montgomery I -76","42-101-0076","AQS"
"12/16/2021","48","PM2.5","Air Management Services Laboratory (AMS LAB)","42-101-0004","AQS"
"12/17/2021","48","PM2.5","Chester","42-045-0002","AQS"
"12/18/2021","52","PM2.5","Torresdale Station","42-101-0075","AQS"
"12/19/2021","30","PM2.5","Torresdale Station","42-101-0075","AQS"
"12/20/2021","31","NO2","MLK  CORNER OF MLK BLVD AND JUSTISON ST","10-003-2004","AQS"
"12/21/2021","60","PM2.5","Torresdale Station","42-101-0075","AQS"
"12/22/2021","55","PM2.5","Lums Pond","10-003-1007","AQS"
"12/23/2021","49","PM2.5","New Garden","42-029-0100","AQS"
"12/24/2021","62","PM2.5","Torresdale Station","42-101-0075","AQS"
"12/25/2021","79","PM2.5","Torresdale Station","42-101-0075","AQS"
